id_empresa,cnae_descricao,cnae_4dig,situacao_desc,classe_risco,sancionada,municipio,porte_desc,opcao_simples,opcao_mei,score_risco,score_risco_v2,if_score,if_anomalia,if_score_norm,if_score_risco,dbscan_cluster,dbscan_outlier,pca_1,pca_2,score_manual_norm,score_final,ranking,classe_final
EMP_RJ_00000,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6001,,,,0,2,0.15551581481586035,0,0.9714196467108589,0.028580353289141103,0,0,0.13236385546933022,1.5400553643722867,0.16666666666666666,0.06429017664457054,1424,Baixo
EMP_RJ_00001,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,6001,,,,0,3,0.12063698402569806,0,0.8774289356174373,0.12257106438256271,0,0,0.36414560909152455,1.628744405130512,0.25,0.13628553219128137,1037,Baixo
EMP_RJ_00002,Comércio atacadista de combustíveis,4681,Inapta,Crítico,0,6001,,,,4,10,0.06960857915943958,0,0.7399187051800271,0.2600812948199729,1,0,-1.566753041946274,0.849687259595221,0.8333333333333334,0.38004064740998644,290,Médio
EMP_RJ_00003,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5869,,,,0,2,0.16004884640899852,0,0.9836351611990388,0.01636483880096118,2,0,-1.4288963048426695,0.18264899979805005,0.16666666666666666,0.058182419400480585,1472,Baixo
EMP_RJ_00004,Comércio varejista de combustíveis (postos),4731,Inapta,Crítico,0,5877,,,,4,10,-0.004350337961304573,1,0.5406158313623973,0.4593841686376027,13,0,-2.98119016282282,-1.643224202544886,0.8333333333333334,0.47969208431880134,167,Médio
EMP_RJ_00005,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6001,,,,0,2,0.1524666018214561,0,0.9632026941603682,0.03679730583963181,0,0,-0.12976086512556792,1.235601096789398,0.16666666666666666,0.0683986529198159,1388,Baixo
EMP_RJ_00006,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,6007,,,,4,8,0.10836964270517468,0,0.8443711722744378,0.1556288277255622,3,0,-2.7231460209154763,0.7406919116254133,0.6666666666666666,0.27781441386278105,528,Baixo
EMP_RJ_00007,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5915,,,,0,3,0.12042403924457673,0,0.8768550966742216,0.12314490332577843,2,0,-1.1097433954850258,0.1739025891599198,0.25,0.13657245166288923,1035,Baixo
EMP_RJ_00008,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,6001,,,,4,8,0.13112460975226597,0,0.9056907602655219,0.09430923973447813,4,0,-0.8874133955862021,2.067791827015316,0.6666666666666666,0.24715461986723905,665,Baixo
EMP_RJ_00009,Comércio atacadista de combustíveis,4681,Ativa,Médio,0,5833,,,,0,4,0.06493123425523634,0,0.7273142983345071,0.2726857016654929,5,0,-1.5976688314514658,-2.3411773838999954,0.3333333333333333,0.23634285083274642,717,Baixo
EMP_RJ_00010,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5867,,,,0,2,0.15441205821338444,0,0.9684452675361409,0.03155473246385909,2,0,-1.2294511938576305,0.35175144612359655,0.16666666666666666,0.06577736623192953,1410,Baixo
EMP_RJ_00011,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5869,,,,0,3,0.13098916540878303,0,0.9053257678082307,0.09467423219176929,2,0,-0.8492527668414936,0.5545624285873283,0.25,0.12233711609588464,1097,Baixo
EMP_RJ_00012,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5887,,,,0,3,0.09093930586410126,0,0.797400281416696,0.20259971858330394,2,0,-1.0586488491047747,0.5059024930131483,0.25,0.17629985929165198,877,Baixo
EMP_RJ_00013,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5859,,,,0,4,0.027229591925413965,0,0.6257167363838544,0.3742832636161456,5,0,-2.0016894242359635,-3.1568953874063097,0.3333333333333333,0.2871416318080728,471,Baixo
EMP_RJ_00014,Comércio varejista de combustíveis (postos),4731,Inapta,Crítico,0,5897,,,,4,10,0.08567627520538562,0,0.7832175813974429,0.2167824186025571,6,0,-2.8692537710514996,-0.21820611674776436,0.8333333333333334,0.35839120930127855,361,Médio
EMP_RJ_00015,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6001,,,,0,2,0.13783464310099874,0,0.9237728115161002,0.07622718848389975,0,0,1.076338543120597,1.5942321938163495,0.16666666666666666,0.08811359424194987,1267,Baixo
EMP_RJ_00016,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5833,,,,0,2,0.13411308204663436,0,0.9137440301047706,0.08625596989522943,2,0,-0.12140303995998478,0.5796220190126216,0.16666666666666666,0.0931279849476147,1240,Baixo
EMP_RJ_00017,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5867,,,,0,2,0.1471576291289053,0,0.9488961905521924,0.05110380944780757,2,0,-0.9532241880771882,0.6312727902980987,0.16666666666666666,0.07555190472390377,1341,Baixo
EMP_RJ_00018,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5883,,S,N,0,4,0.11110553436690995,0,0.8517437933438801,0.14825620665611994,7,0,-1.9920015306148215,-0.8894620038236514,0.3333333333333333,0.17412810332805995,882,Baixo
EMP_RJ_00019,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6001,,,,0,2,0.1567076920598232,0,0.9746314914647758,0.02536850853522421,0,0,0.08611325923143852,1.4914729510145608,0.16666666666666666,0.0626842542676121,1437,Baixo
EMP_RJ_00020,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,6001,,,,4,8,0.13258874676830457,0,0.9096362847042161,0.09036371529578391,4,0,-0.8663781419300006,2.0306013582564084,0.6666666666666666,0.24518185764789194,687,Baixo
EMP_RJ_00021,Comércio varejista de combustíveis (postos),4731,Ativa,Alto,0,5865,,,,3,6,0.042803289959038426,0,0.6676843975517698,0.3323156024482302,8,0,2.205771301357763,1.3015056198266766,0.5,0.3161578012241151,411,Médio
EMP_RJ_00022,Transporte dutoviário de combustíveis,5221,Ativa,Médio,0,5833,,,,0,4,0.0587941759757209,0,0.7107762877806636,0.2892237122193364,5,0,-1.960979591029052,-1.6988417684339054,0.3333333333333333,0.24461185610966818,689,Baixo
EMP_RJ_00023,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5909,,,,0,3,0.12240713204157683,0,0.8821990918120073,0.11780090818799271,2,0,-1.3417040188673484,0.2450904095372645,0.25,0.13390045409399637,1048,Baixo
EMP_RJ_00024,Transporte dutoviário de combustíveis,5221,Ativa,Baixo,0,6001,,,,0,2,0.09407015021349319,0,0.8058372123589216,0.19416278764107842,-1,1,1.2964245898944942,3.1768668251557326,0.16666666666666666,0.3470813938205392,368,Médio
EMP_RJ_00025,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,5877,,,,4,8,0.1400682011596544,0,0.9297917549682042,0.07020824503179579,3,0,-2.200127992129697,0.914187497615205,0.6666666666666666,0.23510412251589788,734,Baixo
EMP_RJ_00026,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,5849,,,,4,8,0.06841467496077158,0,0.7367013982328608,0.26329860176713915,-1,1,-1.690219409446282,0.7983534510716291,0.6666666666666666,0.5316493008835697,117,Alto
EMP_RJ_00027,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5813,,,,0,2,0.13008269698162434,0,0.9028830364975122,0.09711696350248777,2,0,-1.2921205996275693,0.4173823284579098,0.16666666666666666,0.09855848175124388,1214,Baixo
EMP_RJ_00028,Comércio varejista de combustíveis (postos),4731,Inapta,Crítico,0,5839,,,,7,12,0.018802411106706163,0,0.6030073536517188,0.39699264634828124,-1,1,1.1857050695863343,1.4282044700413692,1.0,0.6984963231741406,10,Alto
EMP_RJ_00029,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,5909,,N,N,4,8,0.11094917791294279,0,0.8513224473881961,0.14867755261180393,3,0,-2.793464816528459,0.4005572109607829,0.6666666666666666,0.274338776305902,543,Baixo
EMP_RJ_00030,Comércio varejista de combustíveis (postos),4731,Inapta,Crítico,0,5833,,,,4,10,0.08535063679970972,0,0.7823400581371897,0.21765994186281035,6,0,-2.7335530227668183,-0.21962786370835718,0.8333333333333334,0.3588299709314052,360,Médio
EMP_RJ_00031,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,5819,,,,0,4,0.09443044178990989,0,0.8068081182264981,0.19319188177350188,7,0,-1.8166937557843439,-0.7275057528846354,0.3333333333333333,0.19659594088675092,809,Baixo
EMP_RJ_00032,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6001,,,,0,2,0.1380277081753885,0,0.9242930790599972,0.07570692094000275,0,0,1.0963735233189105,1.5588102326477333,0.16666666666666666,0.08785346047000137,1268,Baixo
EMP_RJ_00033,Comércio atacadista de combustíveis,4681,Ativa,Baixo,0,5819,,,,0,2,0.07278013155359708,0,0.7484653352717958,0.2515346647282042,-1,1,0.059746513353042874,-0.9633172976049649,0.16666666666666666,0.3757673323641021,300,Médio
EMP_RJ_00034,Comércio atacadista de combustíveis,4681,Ativa,Baixo,0,5867,,,,0,2,0.09829659354055303,0,0.8172265394867807,0.1827734605132193,9,0,-1.2618005011411904,-0.7819732956917952,0.16666666666666666,0.14138673025660964,1022,Baixo
EMP_RJ_00035,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6001,,,,0,2,0.1579407276738693,0,0.9779542488950619,0.022045751104938116,0,0,0.10871855907571983,1.451506639427918,0.16666666666666666,0.061022875552469054,1449,Baixo
EMP_RJ_00036,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,6001,,,,3,4,0.0757809868277573,0,0.7565519744944132,0.24344802550558675,10,0,2.1185010854008577,2.234023815341598,0.3333333333333333,0.22172401275279335,765,Baixo
EMP_RJ_00037,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5897,,,,0,2,0.15984567775021047,0,0.9830876667366736,0.016912333263326418,2,0,-1.1431133542192637,0.4243842310884826,0.16666666666666666,0.058456166631663205,1467,Baixo
EMP_RJ_00038,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6001,,,,0,2,0.15426392345232276,0,0.9680460772188506,0.03195392278114939,0,0,-0.08955197785979002,1.164511548397959,0.16666666666666666,0.06597696139057468,1408,Baixo
EMP_RJ_00039,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,5843,,,,4,9,0.06478961971323405,0,0.726932678561068,0.273067321438932,3,0,-2.29952890085434,0.77085988536827,0.75,0.36153366071946597,352,Médio
EMP_RJ_00040,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5877,,,,0,2,0.16282217254084574,0,0.9911086598605768,0.008891340139423165,2,0,-1.4231351158165049,0.04780293649170674,0.16666666666666666,0.05444567006971158,1496,Baixo
EMP_RJ_00041,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5821,,,,0,2,0.14621287171035852,0,0.946350278904115,0.05364972109588495,2,0,-1.6751312557816256,0.11900752633892901,0.16666666666666666,0.07682486054794246,1332,Baixo
EMP_RJ_00042,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,776,,,,0,2,0.1299980188102406,0,0.9026548476115277,0.0973451523884723,2,0,-1.6574056229092193,-0.2090497119530003,0.16666666666666666,0.09867257619423614,1212,Baixo
EMP_RJ_00043,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5875,,,,0,2,0.06330406022535684,0,0.7229294253133548,0.2770705746866452,9,0,-1.777582982553014,-1.3513720655405368,0.16666666666666666,0.1885352873433226,832,Baixo
EMP_RJ_00044,Comércio varejista de combustíveis (postos),4731,Ativa,Alto,0,5901,,,,3,6,0.08079995160353742,0,0.7700769711052935,0.2299230288947065,11,0,1.179180027933785,0.7389983212069873,0.5,0.2649615144473533,584,Baixo
