id_empresa,situacao_desc,cnae_descricao,score_final,classe_final,ranking,if_anomalia,dbscan_outlier,score_manual_norm,padrao,anos_operacao,qtd_socios,qtd_filiais,sem_socios,max_empresas_por_socio,taxa_inapta_municipio
EMP_RJ_01496,Ativa,Comércio varejista de combustíveis (postos),0.52728200931384,Alto,123,1,1,0.25,Outros,0.1,1,0,0,2.0,0.2
EMP_RJ_01231,Inapta,Comércio atacadista de combustíveis,0.5269533932954222,Alto,124,0,1,0.6666666666666666,P4: Abandono fiscal,25.7,2,1,0,1.0,0.2
EMP_RJ_01335,Ativa,Comércio varejista de combustíveis (postos),0.5256044675376819,Alto,125,1,1,0.3333333333333333,P3: Laranja societário,3.3,1,0,0,17.0,0.20212765957446807
EMP_RJ_01451,Ativa,Extração de petróleo e gás natural,0.5252624910594506,Alto,126,1,1,0.3333333333333333,Outros,1.0,3,0,0,6.0,0.21731448763250882
EMP_RJ_01452,Ativa,Extração de petróleo e gás natural,0.5252624910594506,Alto,126,1,1,0.3333333333333333,Outros,1.0,3,0,0,6.0,0.21731448763250882
EMP_RJ_00790,Ativa,Comércio varejista de combustíveis (postos),0.5249860527268198,Alto,128,1,1,0.3333333333333333,P5: Ativa suspeita,43.6,0,1,1,1.0,0.5
EMP_RJ_01371,Ativa,Comércio atacadista de combustíveis,0.5228975114936077,Alto,129,1,1,0.16666666666666666,Outros,2.5,1,0,0,1.0,0.0
EMP_RJ_00417,Ativa,Comércio varejista de combustíveis (postos),0.5227263039239198,Alto,130,0,1,0.5,P3: Laranja societário,18.6,4,0,0,22.0,0.21731448763250882
EMP_RJ_00116,Inapta,Comércio varejista de combustíveis (postos),0.5226558004967323,Alto,131,0,1,0.6666666666666666,P4: Abandono fiscal,26.7,6,0,0,1.0,0.21731448763250882
EMP_RJ_01339,Ativa,Comércio varejista de combustíveis (postos),0.5225003611102965,Alto,132,1,1,0.16666666666666666,Outros,3.2,2,0,0,6.0,0.5
EMP_RJ_01422,Ativa,Comércio varejista de combustíveis (postos),0.5214069743069378,Alto,133,1,1,0.16666666666666666,Outros,1.6,1,0,0,8.0,0.21731448763250882
EMP_RJ_00943,Ativa,Comércio varejista de combustíveis (postos),0.5212592072584629,Alto,134,0,1,0.3333333333333333,Outros,48.4,0,2,1,1.0,0.21731448763250882
EMP_RJ_01357,Ativa,Comércio varejista de combustíveis (postos),0.5200990467926082,Alto,135,1,1,0.08333333333333333,Outros,2.8,5,0,0,3.0,0.2
EMP_RJ_01331,Ativa,Comércio varejista de combustíveis (postos),0.5195666373323676,Alto,136,0,1,0.3333333333333333,P3: Laranja societário,3.4,1,0,0,17.0,0.25
EMP_RJ_01379,Ativa,Comércio atacadista de combustíveis,0.5187122373360267,Alto,137,1,1,0.16666666666666666,Outros,2.4,1,0,0,1.0,0.21731448763250882
EMP_RJ_01467,Ativa,Comércio varejista de combustíveis (postos),0.5180696198813428,Alto,138,1,1,0.08333333333333333,Outros,0.6,1,0,0,4.0,0.3333333333333333
